datetime,elapsed_time,brake_vset
2023-04-18 11:24:18.685810, 619.39884, 2.691629249768007
2023-04-18 11:24:18.742671, 619.455701, 2.6890758470585707
2023-04-18 11:24:18.823445, 619.536475, 2.6825982023906545
2023-04-18 11:24:18.871366, 619.584396, 2.673014050838483
2023-04-18 11:24:18.948168, 619.661198, 2.680228283589399
2023-04-18 11:24:18.999025, 619.712055, 2.685124119217171
2023-04-18 11:24:19.060873, 619.773903, 2.6862646188976305
2023-04-18 11:24:19.131671, 619.844701, 2.69430510626813
2023-04-18 11:24:19.186041, 619.899071, 2.6942359205840285
2023-04-18 11:24:19.240895, 619.953925, 2.6909780076142535
2023-04-18 11:24:19.311706, 620.024736, 2.6974124873076697
2023-04-18 11:24:19.375535, 620.088565, 2.696044935154573
2023-04-18 11:24:19.438920, 620.15195, 2.691103028043935
2023-04-18 11:24:19.502749, 620.215779, 2.694956511822884
2023-04-18 11:24:19.568573, 620.281603, 2.688060630861928
2023-04-18 11:24:19.629990, 620.34302, 2.6848100773939403
2023-04-18 11:24:19.677853, 620.390883, 2.6886236635765908
2023-04-18 11:24:19.752847, 620.465877, 2.6880259982775123
2023-04-18 11:24:19.817674, 620.530704, 2.6897844326846463
2023-04-18 11:24:19.880506, 620.593536, 2.695144851122277
2023-04-18 11:24:19.954319, 620.667349, 2.689608712550289
2023-04-18 11:24:20.011158, 620.724188, 2.686149991386751
2023-04-18 11:24:20.071997, 620.785027, 2.6866517852767036
2023-04-18 11:24:20.139814, 620.852844, 2.6881758755807095
2023-04-18 11:24:20.199655, 620.912685, 2.695362120926693
2023-04-18 11:24:20.263484, 620.976514, 2.6980021928396445
2023-04-18 11:24:20.327322, 621.040352, 2.6981271690746187
2023-04-18 11:24:20.391144, 621.104174, 2.701007287383918
2023-04-18 11:24:20.458963, 621.171993, 2.69703899943117
2023-04-18 11:24:20.514813, 621.227843, 2.6957893380840416
2023-04-18 11:24:20.577646, 621.290676, 2.700433262913366
2023-04-18 11:24:20.640479, 621.353509, 2.692574963605289
2023-04-18 11:24:20.702313, 621.415343, 2.6991609560837198
2023-04-18 11:24:20.779108, 621.492138, 2.7007468670329353
2023-04-18 11:24:20.843936, 621.556966, 2.6934810501023274
2023-04-18 11:24:20.896794, 621.609824, 2.6980782533843604
2023-04-18 11:24:20.960633, 621.673663, 2.692055073107176
2023-04-18 11:24:21.007499, 621.720529, 2.683691848040048
2023-04-18 11:24:21.081360, 621.79439, 2.6844612677642363
2023-04-18 11:24:21.144838, 621.857868, 2.684828448411913
2023-04-18 11:24:21.211660, 621.92469, 2.6876879853426088
2023-04-18 11:24:21.272498, 621.985528, 2.6932713067561873
2023-04-18 11:24:21.336328, 622.049358, 2.701400004147331
2023-04-18 11:24:21.400900, 622.11393, 2.6977847199253757
2023-04-18 11:24:21.461131, 622.174161, 2.6967606861476043
2023-04-18 11:24:21.524973, 622.238003, 2.6966399855716965
2023-04-18 11:24:21.586795, 622.299825, 2.6906100904821004
2023-04-18 11:24:21.653617, 622.366647, 2.69279798673987
2023-04-18 11:24:21.713457, 622.426487, 2.697238836739107
2023-04-18 11:24:21.791249, 622.504279, 2.6964555801061305
2023-04-18 11:24:21.852096, 622.565126, 2.694485919272206
2023-04-18 11:24:21.911927, 622.624957, 2.7019793152964304
2023-04-18 11:24:21.994472, 622.707502, 2.7014333225063774
2023-04-18 11:24:22.039371, 622.752401, 2.6952423835524133
